frase,autor
Suporta-se com paciência a cólica dos outros.,Machado de Assis
EsnobarÉ exigir café fervendoE deixar esfriar.,Millôr Fernandes
A falta de amor é a maior de todas as pobrezas.,Madre Teresa de Calcutá
Quem gosta de escrever cartas para os jornais não deve ter namorada.,Carlos Drummond de Andrade
O melhor movimento feminino ainda é o dos quadris.,Millôr Fernandes
"Quando defendemos os nossos amigos, justificamos a nossa amizade.",Marquês de Maricá
"Há campeões de tudo, inclusive de perda de campeonatos.",Carlos Drummond de Andrade
"Não é a pornografia que é obscena, é a fome que é obscena.",José Saramago
"Pensamentos valem e vivem pela observação exata ou nova, pela reflexão aguda ou profunda; não menos querem a originalidade, a simplicidade e a graça do dizer.",Machado de Assis
A inveja é assim tão magra e pálida porque morde e não come.,Francisco de Quevedo
"Há duas épocas na vida, infância e velhice, em que a felicidade está numa caixa de bombons.",Carlos Drummond de Andrade
"Viva o Brasil
Onde o ano inteiro
É primeiro de abril",Millôr
Certas coisas só são amargas se a gente as engole.,Millôr
"Aprendi a não tentar convencer ninguém. O trabalho de convencer é uma falta de respeito, é uma tentativa de colonização do outro.",José Saramago
"a girafa, calada,lá de cima vê tudoe não diz nada",Millôr Fernandes
"Fisicamente, habitamos um espaço, mas, sentimentalmente, somos habitados por uma memória.",José Saramago
"Nas asas do tempo, a tristeza voa.",Jean de La Fontaine
Um só pirilampoofusca o pisca-piscadas luzes do campo.,Sérgio M. Serra
"Somos todos escritores, só que alguns escrevem e outros não.",José Saramago
"Ser pobre não é crime, mas ajuda muito a chegar lá.",Millôr Fernandes
Frases felizes...Frases encantadas... Ó festa dos ouvidos! Sempre há tolices muito bem ornadas... Como há pacóvios bem vestidos.,Mario Quintana
"There's no one here,there's no one in the crowd.",Madonna
O senhor não daria banho a um leproso nem por um milhão de dólares? Eu também não. Só por amor se pode dar banho a um leproso.,Madre Teresa de Calcutá
"Palavra puxa palavra, uma ideia traz outra, e assim se faz um livro, um governo, ou uma revolução, alguns dizem que assim é que a natureza compôs as suas espécies.",Machado de Assis
Por vezes a palavra representa um modo mais hábil de se calar do que o silêncio.,Simone de Beauvoir
A popularização leva à aceitação superficial sem estudo sério. As pessoas apenas repetem as frases que aprendem no teatro ou na imprensa. Pensam compreender algo da psicanálise porque brincam com seu jargão...,Sigmund Freud
Ninguém nasce mulher: torna-se mulher.,Simone de Beauvoir
"Você acha mesmo que eu sou uma garota materialista? Pois eu não sou. Não preciso de dinheiro, eu preciso de amor.",Madonna
A oportunidade é como ferro: devemos batê-lo enquanto estiver quente.,José Hernandez
O dinheiro não traz felicidade — para quem não sabe o que fazer com ele.,Machado de Assis
A ocasião faz o homem.,José de Alencar
Cada um tem o Cirque du Soleil que merece.,Millôr Fernandes
Pouco se pode esperar de alguém que só se esforça quando tem a certeza de vir a ser recompensado.,José Ortega y Gasset
Às vezes você está discutindo com um imbecil… e ele também.,Millôr Fernandes
"Quando todo o mundo é corcunda, o belo porte torna-se a monstruosidade.",Honoré de Balzac
Imprensa é oposição. O resto é armazém de secos e molhados.,Millôr Fernandes
Aniversário é uma festaPra te lembrarDo que resta.,Millôr Fernandes
Não ter vaidades é a maior de todas.,Millôr Fernandes
"Não é a fome, mas, pelo contrário, a abundância, o excesso de energias, que provocam a guerra.",José Ortega y Gasset
"O que cada um de nós deve fazer em primeiro lugar, pois não temos outro remédio, é respeitar as nossas próprias convicções, não calar, seja onde for, seja como for, conscientes de que isso não muda nada, mas que ao fazê-lo, pelo menos temos a certeza de que não estamos a mudar.",José Saramago
A infelicidade tem isto de bom: faz-nos conhecer os verdadeiros amigos.,Honoré de Balzac
Houve um tempo em que acreditei que eu viveria para sempre. Foi um tempo que rezei a Jesus Cristo.,Madonna
"Não importa quem você é, não importa o que você fez, não importa de onde você veio, você sempre pode mudar, se tornar a melhor versão de si mesmo.",Madonna
Não devemos permitir que alguém saia da nossa presença sem se sentir melhor e mais feliz.,Madre Teresa de Calcutá
"Gostar é provavelmente a melhor maneira de ter, ter deve ser a pior maneira de gostar.",José Saramago
Esqueço o meu mal quando curo o mal dos demais.,José Martí
O ódio tem melhor memória do que o amor.,Honoré de Balzac
"Contento-me com pouco, mas desejo muito.",Miguel de Cervantes
"O importante é a lembrança dos erros, que nos permite não cometer sempre os mesmos. O verdadeiro tesouro do homem é o tesouro dos seus erros, a larga experiência vital decantada por milénios, gota a gota.",José Ortega y Gasset
O caos é uma ordem por decifrar.,José Saramago
"O amor é a poesia dos sentidos. Ou é sublime, ou não existe. Quando existe, existe para sempre e vai crescendo dia a dia.",Honoré de Balzac
A triste certezaDe que hoje estou de posseÉ que a minha calvícieNem ao menos é precoce.,Millôr Fernandes
A arte é um resumo da natureza feito pela imaginação.,Eça de Queirós
"O último refúgio do oprimido é a ironia, e nenhum tirano, por mais violento que seja, escapa a ela. O tirano pode evitar uma fotografia, não pode impedir uma caricatura. A mordaça aumenta a mordacidade.",Millôr Fernandes
Por vezes sentimos que aquilo que fazemos não é senão uma gota de água no mar. Mas o mar seria menor se lhe faltasse uma gota.,Madre Teresa de Calcutá
Ninguém é igual a ninguém. Todo o ser humano é um estranho ímpar.,Carlos Drummond de Andrade
"Como as plantas, a amizade não deve ser muito nem pouco regada.",Carlos Drummond de Andrade
"Só depois que a tecnologia inventou o telefone, o telégrafo, a televisão, a internet, foi que se descobriu que o problema de comunicação mais sério era o de perto.",Millôr Fernandes
O acaso... é um Deus e um diabo ao mesmo tempo.,Machado de Assis
"O peixe, aflito,salta preciso e abocanhao afoito mosquito.",Sérgio M. Serra
"Gostaria, querida, de ser inesperado Como a madrugada amanhecendoà noite E engraçado também, como pato num trem",Millôr Fernandes
[Sobre o Xadrez]Jogo chinês que aumenta a capacidade de jogar xadrez.,Millôr Fernandes
maravilha sem para televisãosó falta não falar,Millôr Fernandes
"Só me dirijo às pessoas capazes de me entender, e essas poderão ler-me sem perigo.",Marquês de Sade
Não é fácil ter paciência diante dos que a têm em excesso.,Carlos Drummond de Andrade
"Quando, afinal, nos acostumamos com uma moda é porque ela já está completamente em decadência.",Millôr Fernandes
Vocês não sabem como é divertido o absoluto ceticismo.  Pode-se brincar com a hipocrisia alheia como quem brinca com a roleta russa com a certeza de que a arma está descarregada.,Millôr Fernandes
há colcha mais duraque a lousada sepultura?,Millôr Fernandes
A alma enruga antes da pele.,Millôr Fernandes
"Toda lei é boa, desde que seja usada legalmente.",Millôr Fernandes
Querer ser livre é também querer livres os outros.,Simone de Beauvoir
"Tenho fé no amor, com ele vencerei o impossível.",José de Alencar
O cofre do banco contém apenas dinheiro; frusta-se quem pensar que lá encontrará riqueza.,Carlos Drummond de Andrade
A diferença entre a galinha e o político é que o político cacareja e não bota o ovo.,Millôr Fernandes
Frases compostasno sol que passeiasob minha caneta.,Jocelyne Villeneuve
O homem é o homem e suas circunstâncias.,José Ortega y Gasset
Está bem que você acredite em Deus. Mas vai armado,Millôr Fernandes
A mulher que quer rejeitar responde apenas não. A mulher que explica quer que a convençam.,Alfred de Musset
Algumas pessoas matam. As outras pessoas se satisfazem lendo a notícia dos assassinatos.,Millôr Fernandes
o cético sábiosorrisó com um lábio,Millôr Fernandes
PARTIDOAgrupamento para defesa abstrata de princípios e elevação positiva de alguns cidadãos.,Carlos Drummond de Andrade
O homem é um animal que adora tanto as novidades que se o rádio fosse inventado depois da televisão haveria uma correria a esse maravilhoso aparelho completamente sem imagem.,Millôr Fernandes
